,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
0,4,3,0,0,897,94,14,14.0,14.0,20,190,0,3,13.0,0,160.0,0,27,0,17,15,6,0,2,4.5,15,70.0,200.0,7,1
1,4,3,1,0,807,30,45,30.0,60.0,20,175,0,3,10.5,0,150.0,0,49,0,17,15,1,0,2,6.0,2,60.0,200.0,11,3
2,4,0,0,0,109,3,25,25.0,25.0,20,230,0,3,14.0,0,460.0,0,32,0,6,79,2,8,6,25.0,6,80.0,400.0,8,3
3,4,3,2,0,1043,123,20,20.0,20.0,20,175,0,3,8.0,0,115.0,0,72,0,17,15,1,2,9,4.0,0,50.0,80.0,11,3
4,4,3,2,0,410,21,75,60.0,90.0,20,250,0,2,12.5,0,115.0,0,66,0,17,15,6,3,12,6.0,0,50.0,80.0,5,3
5,4,3,2,0,1271,123,45,30.0,60.0,20,100,0,3,8.5,0,65.0,0,30,0,17,15,6,7,9,4.5,0,50.0,80.0,3,3
6,4,3,0,0,717,65,45,30.0,60.0,20,280,0,2,18.0,0,145.0,0,35,0,17,15,6,3,2,6.5,0,50.0,80.0,6,1
7,4,3,38,0,1309,47,75,60.0,90.0,20,165,0,2,9.5,0,130.0,0,50,0,17,15,1,3,11,4.0,2,60.0,200.0,8,3
8,4,3,0,0,106,145,14,14.0,14.0,20,125,0,8,10.0,0,85.0,0,57,0,17,15,1,6,2,6.5,13,60.0,200.0,12,3
9,4,3,38,0,473,23,25,25.0,25.0,20,540,0,8,32.0,0,75.0,0,31,0,17,15,6,3,9,2.0,10,70.0,200.0,7,3
10,4,3,4,0,598,20,45,30.0,60.0,20,175,0,1,10.0,0,105.0,0,45,0,17,15,6,6,2,6.0,10,70.0,200.0,3,2
11,4,3,2,0,937,123,23,23.0,23.0,20,500,0,2,16.0,0,230.0,0,47,0,17,61,6,8,2,4.0,0,50.0,80.0,1,3
12,4,3,0,0,1272,142,10,10.0,10.0,20,680,0,6,22.0,0,210.0,0,32,0,17,15,3,4,2,6.0,4,60.0,200.0,12,3
13,4,3,4,0,598,20,45,30.0,60.0,20,240,0,3,10.0,0,70.0,0,71,0,17,15,1,7,8,6.0,10,70.0,200.0,10,1
14,4,3,0,0,1279,3,20,20.0,20.0,20,145,0,3,9.5,0,145.0,0,50,0,17,61,3,5,2,5.0,1,60.0,200.0,8,1
15,4,3,0,0,601,121,13,13.0,13.0,20,590,0,3,27.0,0,260.0,0,31,0,17,15,6,2,9,6.2,0,50.0,80.0,4,0
16,4,3,2,0,1090,34,45,30.0,60.0,20,230,0,2,10.0,0,115.0,0,67,0,17,15,6,2,0,6.0,0,50.0,80.0,6,0
17,4,3,0,0,542,145,2,2.0,2.0,20,210,0,8,11.0,0,115.0,0,39,0,17,15,6,4,2,8.0,2,60.0,200.0,1,1
18,4,3,2,0,1043,123,16,16.0,16.0,20,940,0,3,26.5,0,400.0,0,35,0,1,61,1,0,2,11.0,0,50.0,80.0,8,2
19,4,3,0,0,270,27,45,30.0,60.0,20,260,0,8,18.5,0,160.0,0,51,0,17,44,6,2,2,6.0,0,50.0,80.0,6,2
20,4,3,2,0,73,34,29,29.0,29.0,20,155,0,3,8.0,0,100.0,0,72,0,17,15,1,0,2,4.0,4,60.0,200.0,12,0
21,4,3,6,0,75,71,21,21.0,21.0,20,480,0,1,17.5,0,490.0,0,44,0,17,61,3,7,2,7.0,6,80.0,400.0,13,2
