,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
9920,4,3,38,0,473,23,25,25.0,25.0,20,540,0,8,32.0,0,75.0,0,31,0,17,15,6,3,9,2.0,10,70.0,200.0,7,3
6444,4,3,4,0,59,20,9,9.0,9.0,20,100,0,2,8.0,0,90.0,0,34,0,17,15,1,2,2,3.0,1,60.0,200.0,11,0
2495,4,3,1,0,1036,30,28,28.0,28.0,20,85,0,2,7.0,0,85.0,0,33,0,17,15,1,5,8,4.0,1,60.0,200.0,8,3
9901,4,3,38,0,1309,47,105,90.0,120.0,20,150,0,2,9.0,0,110.0,0,35,0,17,15,6,3,8,6.0,2,60.0,200.0,7,0
6902,4,3,3,0,447,66,45,30.0,60.0,20,720,0,6,33.0,0,50.0,0,28,0,17,79,6,0,2,6.0,10,70.0,200.0,4,3
4065,4,3,2,0,993,79,18,18.0,18.0,20,1800,0,3,39.5,0,190.0,0,31,0,6,100,6,2,2,9.5,15,60.0,200.0,10,2
9529,4,3,23,0,0,93,45,30.0,60.0,20,220,0,3,15.5,0,190.0,0,26,0,17,47,6,7,7,6.5,10,70.0,200.0,6,2
1247,4,3,0,0,103,27,26,26.0,26.0,20,80,0,8,6.0,0,150.0,0,32,0,6,15,5,3,2,6.0,14,60.0,200.0,9,2
6024,4,3,4,0,933,129,45,30.0,60.0,20,690,0,6,28.5,0,50.0,0,16,0,17,15,5,6,2,9.0,10,70.0,200.0,10,0
8582,4,3,21,0,932,140,45,30.0,60.0,20,420,0,8,26.0,0,195.0,0,24,0,17,93,5,7,9,4.0,10,70.0,200.0,11,2
8144,4,3,10,0,452,92,3,3.0,3.0,20,1600,0,3,35.0,0,180.0,0,76,0,17,100,6,0,7,6.0,10,70.0,200.0,11,1
7307,4,3,7,0,1356,104,45,30.0,60.0,20,310,0,2,11.0,0,120.0,0,28,0,17,15,1,3,9,2.5,0,50.0,80.0,8,2
9076,4,3,27,0,0,106,75,60.0,90.0,20,330,0,3,17.0,0,140.0,0,54,0,17,15,2,3,11,7.0,10,70.0,200.0,12,2
4020,4,3,2,0,993,112,20,20.0,20.0,20,260,0,8,11.0,0,90.0,0,29,0,17,15,3,8,8,4.0,15,60.0,200.0,12,2
