,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
5481,4,3,1,0,483,30,28,28.0,28.0,20,200,0,2,18.0,0,135.0,0,58,0,17,15,6,5,8,4.5,1,60.0,200.0,7,1
8028,4,3,4,0,52,20,17,17.0,17.0,20,170,0,8,10.5,0,115.0,0,30,0,17,15,6,3,2,13.0,0,50.0,80.0,7,3
5125,4,3,2,0,389,34,45,30.0,60.0,20,50,0,2,5.4,0,30.0,0,29,0,17,15,1,6,2,4.0,4,60.0,200.0,11,0
2052,4,0,0,0,1349,65,25,25.0,25.0,20,145,0,3,15.0,0,200.0,0,37,0,17,65,6,6,6,35.0,14,60.0,200.0,4,2
9141,4,3,17,0,486,24,28,28.0,28.0,20,1000,0,6,30.0,0,105.0,0,31,0,17,15,6,7,6,7.0,10,70.0,200.0,4,2
8601,4,3,21,0,1173,80,9,9.0,9.0,20,165,0,7,12.5,0,115.0,0,41,0,17,15,1,5,11,6.0,2,60.0,200.0,13,0
9626,4,3,25,0,275,71,45,30.0,60.0,20,410,0,3,29.0,0,230.0,0,38,0,17,15,6,3,11,6.0,0,50.0,60.0,6,0
3100,4,3,1,0,783,30,45,30.0,60.0,20,200,0,8,16.0,0,130.0,0,16,0,17,15,1,5,2,5.0,0,50.0,80.0,12,1
7568,4,3,3,0,1313,66,13,13.0,13.0,20,95,0,6,17.0,0,75.0,0,21,0,17,15,6,3,2,4.0,1,60.0,200.0,5,3
1803,4,3,0,0,425,0,17,17.0,17.0,20,310,0,3,13.3,0,15.0,0,20,0,17,93,6,7,2,6.0,4,60.0,200.0,2,3
8397,4,3,2,0,1089,21,45,30.0,60.0,20,230,0,3,21.0,0,95.0,0,27,0,17,15,6,4,2,6.0,1,60.0,200.0,3,2
5555,4,3,2,0,1218,21,45,30.0,60.0,20,580,0,1,4.5,0,80.0,0,27,0,17,15,1,3,2,7.0,15,60.0,200.0,12,3
3490,4,3,0,0,365,89,45,30.0,60.0,20,740,0,6,28.0,0,90.0,0,54,0,17,15,6,3,7,7.5,10,70.0,200.0,2,3
963,4,3,0,0,372,89,45,30.0,60.0,20,250,0,1,30.0,0,50.0,0,76,0,17,100,3,3,2,4.0,10,70.0,200.0,12,0
6032,4,3,2,0,1041,21,10,10.0,10.0,20,300,0,8,12.0,0,55.0,0,31,0,17,110,6,2,9,4.0,15,60.0,200.0,4,3
3979,4,3,0,0,341,27,45,30.0,60.0,20,105,0,6,6.5,0,135.0,0,31,0,17,15,6,4,2,6.5,13,60.0,200.0,5,3
5606,4,3,1,0,754,30,75,60.0,90.0,20,160,0,3,10.0,0,105.0,0,32,0,17,15,6,2,8,2.5,15,70.0,200.0,5,2
6740,4,3,2,0,873,34,45,30.0,60.0,20,155,0,2,10.5,0,115.0,0,31,0,17,15,6,3,8,2.0,1,60.0,200.0,4,2
2127,4,3,1,0,701,115,28,28.0,28.0,20,370,0,1,5.5,0,110.0,0,40,0,17,15,1,8,2,7.0,0,50.0,80.0,9,3
9122,4,3,4,0,53,20,21,21.0,21.0,20,180,0,3,20.0,0,105.0,0,28,0,17,15,6,4,2,4.0,2,60.0,200.0,3,3
6153,4,3,4,0,716,20,25,25.0,25.0,20,820,0,3,20.0,0,220.0,0,31,0,17,15,1,7,2,5.5,10,70.0,200.0,9,3
99,4,3,0,0,601,121,8,8.0,8.0,20,240,0,2,13.0,0,130.0,0,25,0,17,15,1,5,2,5.5,1,60.0,200.0,12,3
5726,4,3,3,0,284,66,10,10.0,10.0,20,290,0,3,8.0,0,165.0,0,25,0,17,15,1,5,2,6.0,1,60.0,200.0,10,2
