,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
8208,4,3,2,0,1271,123,45,30.0,60.0,20,100,0,3,8.5,0,65.0,0,30,0,17,15,6,7,9,4.5,0,50.0,80.0,3,3
2153,4,3,0,0,717,65,45,30.0,60.0,20,280,0,2,18.0,0,145.0,0,35,0,17,15,6,3,2,6.5,0,50.0,80.0,6,1
9430,4,3,38,0,1309,47,75,60.0,90.0,20,165,0,2,9.5,0,130.0,0,50,0,17,15,1,3,11,4.0,2,60.0,200.0,8,3
6825,4,3,2,0,1271,123,45,30.0,60.0,20,200,0,2,18.0,0,100.0,0,33,0,17,15,6,3,2,9.0,0,50.0,80.0,1,2
8340,4,3,17,0,486,14,14,14.0,14.0,20,210,0,2,12.0,0,120.0,0,51,0,17,15,1,5,11,6.0,2,60.0,200.0,8,3
1580,4,3,0,0,330,145,2,2.0,2.0,20,200,0,8,18.5,0,85.0,0,45,0,17,15,1,8,2,6.0,2,60.0,200.0,12,1
10028,4,3,38,0,1308,23,105,90.0,120.0,20,180,0,2,10.5,0,95.0,0,43,0,17,15,6,4,11,6.0,1,60.0,200.0,3,1
388,4,3,0,0,270,27,45,30.0,60.0,20,450,0,6,22.0,0,195.0,0,28,0,17,15,1,6,2,6.0,0,50.0,80.0,9,3
2939,4,3,0,0,527,0,9,9.0,9.0,20,170,0,3,10.3,0,90.0,0,35,0,17,15,6,7,2,6.5,0,50.0,80.0,4,2
986,4,0,0,0,370,89,11,11.0,11.0,20,730,0,3,16.0,0,580.0,0,31,0,17,43,4,5,2,9.5,6,80.0,400.0,11,3
7453,4,3,7,0,272,120,28,28.0,28.0,20,220,0,3,15.5,0,100.0,0,37,0,17,15,1,3,2,6.0,2,60.0,200.0,13,2
4242,4,3,2,0,1041,21,16,16.0,16.0,20,490,0,1,6.5,0,70.0,0,33,0,17,15,1,6,2,5.0,4,60.0,200.0,8,1
56,4,3,0,0,446,6,6,6.0,6.0,20,220,0,3,20.0,0,100.0,0,60,0,17,15,1,8,2,4.0,2,60.0,200.0,13,2
3613,4,3,0,0,370,89,29,29.0,29.0,20,480,0,1,38.0,0,175.0,0,35,0,17,15,6,7,2,5.0,10,70.0,200.0,2,2
8591,4,3,6,0,319,71,45,30.0,60.0,20,165,0,2,16.5,0,80.0,0,34,0,17,15,6,0,2,6.0,0,60.0,150.0,5,0
5410,4,0,1,0,583,30,18,18.0,18.0,20,170,0,3,8.0,0,210.0,0,17,0,17,47,6,4,2,11.0,6,80.0,400.0,6,2
9924,4,0,20,0,499,41,7,7.0,7.0,20,155,0,2,10.0,0,165.0,0,50,0,17,15,6,4,7,8.0,5,60.0,200.0,3,3
553,4,3,0,0,1298,3,7,7.0,7.0,20,135,0,8,10.5,0,230.0,0,39,0,17,45,1,7,2,6.0,2,60.0,200.0,11,3
8135,4,0,9,0,331,28,3,3.0,3.0,20,280,0,2,14.5,0,70.0,0,76,0,17,47,4,5,2,5.0,6,80.0,400.0,8,2
3771,4,3,0,0,356,3,45,30.0,60.0,20,155,0,3,11.0,0,160.0,0,38,0,17,15,6,8,2,5.0,0,60.0,150.0,2,2
7299,4,3,4,0,598,20,45,30.0,60.0,20,340,0,3,12.0,0,240.0,0,52,0,17,15,6,4,2,6.0,10,70.0,200.0,4,3
8099,4,3,2,0,682,84,45,30.0,60.0,20,195,0,8,7.0,0,95.0,0,29,0,17,15,6,2,9,6.0,0,50.0,80.0,3,0
7264,4,3,6,0,319,71,45,30.0,60.0,20,130,0,2,10.0,0,75.0,0,48,0,17,15,1,8,2,6.0,0,60.0,150.0,12,2
4700,4,3,2,0,344,84,5,5.0,5.0,20,200,0,1,24.0,0,85.0,0,22,0,17,15,1,3,9,4.0,1,60.0,200.0,10,3
2699,4,3,0,0,995,121,27,27.0,27.0,20,310,0,3,24.0,0,200.0,0,50,0,6,0,6,3,9,5.0,13,60.0,200.0,2,2
2547,4,3,0,0,1034,138,12,12.0,12.0,20,260,0,6,20.0,0,90.0,0,42,0,17,15,6,0,2,6.0,0,50.0,80.0,6,1
9941,4,3,21,0,895,80,45,30.0,60.0,20,240,0,6,24.0,0,190.0,0,50,0,17,15,6,7,7,6.0,10,70.0,200.0,3,1
3959,4,0,0,0,1375,3,4,4.0,4.0,20,145,0,2,6.0,0,470.0,0,37,0,6,85,6,3,2,16.0,6,80.0,400.0,7,2
6645,4,3,2,0,1302,112,45,30.0,60.0,20,1000,0,1,19.0,0,190.0,0,36,0,17,15,6,7,2,9.0,0,50.0,80.0,7,1
1750,4,3,0,0,18,3,25,25.0,25.0,20,100,0,3,6.5,0,100.0,0,32,0,17,15,6,0,2,5.5,2,60.0,200.0,1,3
265,4,3,0,0,217,142,45,30.0,60.0,20,200,0,5,15.0,0,185.0,0,23,0,17,47,3,8,2,8.0,4,60.0,200.0,9,1
8550,4,3,2,0,875,76,19,19.0,19.0,20,185,0,6,18.5,0,100.0,0,44,0,17,15,6,6,2,6.0,0,50.0,80.0,3,2
9701,4,3,21,0,1173,80,4,4.0,4.0,20,480,0,3,20.5,0,320.0,0,48,0,17,15,6,0,11,7.5,2,60.0,200.0,2,3
6019,4,3,4,0,933,20,45,30.0,60.0,20,2000,1,3,41.0,0,670.0,0,34,0,17,1,0,0,6,14.5,10,70.0,200.0,13,0
4345,4,3,2,0,1043,123,13,13.0,13.0,20,1700,0,1,44.5,0,430.0,0,31,0,2,61,1,5,9,6.0,0,50.0,80.0,11,0
1311,4,3,0,0,102,65,13,13.0,13.0,20,185,0,2,11.0,0,115.0,0,31,0,17,15,1,6,2,6.0,14,60.0,200.0,12,1
9403,4,3,9,0,331,28,8,8.0,8.0,20,420,0,3,16.0,0,130.0,0,25,0,17,15,6,8,2,4.0,2,60.0,200.0,2,2
8063,4,3,4,0,306,20,45,30.0,60.0,20,270,0,5,15.5,0,165.0,0,40,0,17,15,6,0,2,6.5,0,50.0,80.0,5,0
9270,4,3,8,0,260,59,75,60.0,90.0,20,760,0,1,45.0,0,440.0,0,76,0,2,85,6,3,7,13.0,10,70.0,200.0,2,0
2442,4,3,0,0,1298,3,4,4.0,4.0,20,85,0,2,7.4,0,125.0,0,31,0,17,15,6,4,2,7.0,5,60.0,200.0,6,0
1976,4,3,0,0,286,3,25,25.0,25.0,20,70,0,2,7.0,0,100.0,0,38,0,17,15,6,7,8,7.5,1,60.0,200.0,5,1
6865,4,3,2,0,875,76,15,15.0,15.0,20,105,0,2,6.5,0,105.0,0,33,0,17,15,6,4,8,3.0,4,60.0,200.0,6,1
7537,4,3,2,0,838,123,45,30.0,60.0,20,185,0,2,13.0,0,95.0,0,44,0,17,15,6,6,2,4.0,0,50.0,80.0,7,0
8432,4,3,7,0,1305,120,17,17.0,17.0,20,200,0,2,10.0,0,100.0,0,30,0,17,15,6,3,8,6.0,2,60.0,200.0,4,1
2036,4,3,1,0,683,32,12,12.0,12.0,20,200,0,2,10.0,0,105.0,0,37,0,17,15,3,5,2,6.0,0,50.0,80.0,11,3
2425,4,3,1,0,631,30,12,12.0,12.0,20,200,0,2,12.5,0,120.0,0,39,0,17,15,1,5,2,5.5,4,60.0,200.0,8,1
2549,4,3,0,0,1034,138,14,14.0,14.0,20,200,0,1,14.5,0,80.0,0,59,0,17,15,6,6,8,6.5,0,50.0,80.0,6,1
9679,4,3,25,0,600,72,75,60.0,90.0,20,400,0,3,15.0,0,135.0,0,34,0,17,15,6,6,11,8.0,0,50.0,80.0,7,0
