,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
3161,4,3,1,0,807,30,45,30.0,60.0,20,175,0,3,10.5,0,150.0,0,49,0,17,15,1,0,2,6.0,2,60.0,200.0,11,3
1174,4,0,0,0,109,3,25,25.0,25.0,20,230,0,3,14.0,0,460.0,0,32,0,6,79,2,8,6,25.0,6,80.0,400.0,8,3
4335,4,3,2,0,1043,123,20,20.0,20.0,20,175,0,3,8.0,0,115.0,0,72,0,17,15,1,2,9,4.0,0,50.0,80.0,11,3
7088,4,3,2,0,410,21,75,60.0,90.0,20,250,0,2,12.5,0,115.0,0,66,0,17,15,6,3,12,6.0,0,50.0,80.0,5,3
1323,4,3,0,0,106,145,14,14.0,14.0,20,125,0,8,10.0,0,85.0,0,57,0,17,15,1,6,2,6.5,13,60.0,200.0,12,3
6610,4,3,2,0,937,123,23,23.0,23.0,20,500,0,2,16.0,0,230.0,0,47,0,17,61,6,8,2,4.0,0,50.0,80.0,1,3
459,4,3,0,0,1272,142,10,10.0,10.0,20,680,0,6,22.0,0,210.0,0,32,0,17,15,3,4,2,6.0,4,60.0,200.0,12,3
5950,4,3,4,0,598,20,45,30.0,60.0,20,240,0,3,10.0,0,70.0,0,71,0,17,15,1,7,8,6.0,10,70.0,200.0,10,1
691,4,3,0,0,1279,3,20,20.0,20.0,20,145,0,3,9.5,0,145.0,0,50,0,17,61,3,5,2,5.0,1,60.0,200.0,8,1
1133,4,3,0,0,601,121,13,13.0,13.0,20,590,0,3,27.0,0,260.0,0,31,0,17,15,6,2,9,6.2,0,50.0,80.0,4,0
6737,4,3,2,0,1090,34,45,30.0,60.0,20,230,0,2,10.0,0,115.0,0,67,0,17,15,6,2,0,6.0,0,50.0,80.0,6,0
4220,4,3,0,0,542,145,2,2.0,2.0,20,210,0,8,11.0,0,115.0,0,39,0,17,15,6,4,2,8.0,2,60.0,200.0,1,1
4364,4,3,2,0,1043,123,16,16.0,16.0,20,940,0,3,26.5,0,400.0,0,35,0,1,61,1,0,2,11.0,0,50.0,80.0,8,2
2019,4,3,0,0,270,27,45,30.0,60.0,20,260,0,8,18.5,0,160.0,0,51,0,17,44,6,2,2,6.0,0,50.0,80.0,6,2
4642,4,3,2,0,73,34,29,29.0,29.0,20,155,0,3,8.0,0,100.0,0,72,0,17,15,1,0,2,4.0,4,60.0,200.0,12,0
6976,4,3,6,0,75,71,21,21.0,21.0,20,480,0,1,17.5,0,490.0,0,44,0,17,61,3,7,2,7.0,6,80.0,400.0,13,2
4221,4,3,1,0,628,12,23,23.0,23.0,20,140,0,2,8.2,0,105.0,0,66,0,17,15,6,5,2,6.0,0,60.0,150.0,4,3
130,4,3,0,0,601,121,10,10.0,10.0,20,260,0,8,11.0,0,270.0,0,46,0,17,104,3,2,7,13.0,1,60.0,200.0,8,2
7509,4,3,7,0,1284,120,23,23.0,23.0,20,1000,0,2,37.0,0,200.0,0,31,0,17,44,1,3,2,6.5,1,60.0,200.0,9,2
1812,4,3,1,0,596,30,6,6.0,6.0,20,160,0,2,8.0,0,80.0,0,74,0,17,15,1,4,2,6.0,2,60.0,200.0,13,2
1315,4,3,0,0,106,94,14,14.0,14.0,20,200,0,2,11.0,0,125.0,0,32,0,17,15,1,4,2,6.0,13,60.0,200.0,11,3
991,4,3,0,0,370,89,18,18.0,18.0,20,330,0,3,13.5,0,145.0,0,48,0,17,15,1,5,2,12.0,0,50.0,80.0,11,0
1678,4,3,0,0,1248,3,45,30.0,60.0,20,260,0,2,12.0,0,230.0,0,33,0,17,15,6,2,2,6.5,4,60.0,200.0,7,1
2957,4,3,0,0,1021,27,75,60.0,90.0,20,2000,1,1,32.0,0,700.0,0,54,0,6,1,6,2,7,15.0,15,70.0,200.0,2,1
6170,4,3,4,0,50,20,7,7.0,7.0,20,150,0,6,16.5,0,105.0,0,72,0,17,15,1,2,2,10.0,6,80.0,400.0,11,3
8292,4,0,2,0,1303,34,14,14.0,14.0,20,1300,0,2,29.5,0,65.0,0,34,0,17,31,6,8,2,30.0,13,60.0,200.0,3,0
5060,4,0,1,0,643,30,21,21.0,21.0,20,175,0,3,7.0,0,270.0,0,22,0,0,47,6,8,2,9.5,6,80.0,400.0,1,2
7993,4,3,4,0,29,20,6,6.0,6.0,20,2000,1,2,50.0,1,930.0,0,32,0,10,43,6,3,2,6.0,4,60.0,200.0,6,3
4659,4,1,1,0,688,115,45,30.0,60.0,20,1700,0,5,39.5,0,1000.0,0,36,0,6,1,6,7,2,8.0,8,60.0,200.0,5,2
1985,4,3,0,0,74,3,19,19.0,19.0,20,250,0,3,9.5,0,105.0,0,44,0,17,15,6,4,2,4.0,9,80.0,200.0,4,0
3228,4,3,1,0,1215,11,14,14.0,14.0,20,200,0,3,16.5,0,145.0,0,55,0,17,15,1,3,2,9.0,3,50.0,80.0,10,0
285,4,1,0,0,95,27,45,30.0,60.0,20,2000,1,1,23.0,0,420.0,0,18,0,17,16,6,5,2,5.0,13,60.0,200.0,8,0
3207,4,3,0,0,370,89,20,20.0,20.0,20,250,0,2,12.0,0,135.0,0,68,0,17,15,6,5,2,9.0,0,50.0,80.0,6,3
8674,4,3,8,0,238,59,18,18.0,18.0,20,330,0,2,12.0,0,160.0,0,57,0,17,15,6,6,2,6.0,4,60.0,200.0,4,3
3785,4,1,2,0,227,74,27,27.0,27.0,20,1500,0,5,38.0,0,570.0,0,39,0,6,85,6,4,7,24.5,7,60.0,200.0,8,1
3691,4,3,1,0,619,11,21,21.0,21.0,20,180,0,2,11.0,0,105.0,0,58,0,17,15,6,7,2,6.0,0,50.0,80.0,4,1
4654,4,3,0,0,198,3,45,30.0,60.0,20,165,0,2,10.5,0,140.0,0,48,0,17,15,6,4,2,6.5,0,60.0,150.0,3,1
2589,4,3,0,0,1265,27,45,30.0,60.0,20,145,0,2,7.5,0,135.0,0,39,0,17,15,6,2,2,8.0,9,80.0,200.0,2,2
9226,4,1,29,0,294,119,75,60.0,90.0,20,2000,1,2,50.0,1,2000.0,1,44,0,6,42,6,3,11,12.0,7,60.0,200.0,9,1
9675,4,3,20,0,499,41,2,2.0,2.0,20,640,0,6,24.0,0,130.0,0,36,0,17,15,6,7,11,15.0,6,80.0,400.0,2,2
1729,4,3,0,0,952,3,45,30.0,60.0,20,220,0,2,12.0,0,125.0,0,66,0,17,15,6,4,2,20.0,2,60.0,200.0,5,0
4985,4,3,0,0,995,121,19,19.0,19.0,20,175,0,2,11.6,0,120.0,0,50,0,17,15,6,0,2,5.5,2,60.0,200.0,3,2
3657,4,3,0,0,529,3,75,60.0,90.0,20,210,0,1,13.5,0,160.0,0,45,0,17,15,6,5,2,6.5,0,50.0,80.0,5,1
3762,4,3,2,0,682,74,45,30.0,60.0,20,950,0,1,23.5,0,270.0,0,37,0,17,15,1,3,7,12.0,15,60.0,200.0,8,3
