,TradePrice
3418,1500000
9037,2700000
9715,1100000
611,1800000
7543,3000000
7551,3000000
2066,3000000
4009,1000000
10016,2000000
8266,3200000
6419,3000000
9377,3300000
3400,2300000
9911,3000000
9533,1100000
8181,1300000
2487,1000000
2827,3000000
7607,3100000
8768,2500000
8251,1000000
8222,2400000
3186,1900000
3830,2200000
2664,2400000
6594,2000000
7809,3000000
2136,1500000
4757,2500000
5722,2400000
5357,2700000
3815,1800000
1205,2000000
6422,2400000
1822,1600000
6426,3000000
959,2100000
9236,1400000
7046,2500000
2916,2500000
5606,2400000
7749,1700000
8022,3000000
8217,1000000
1627,2500000
2391,3000000
8927,3000000
2603,3000000
1058,1600000
963,1000000
8766,3000000
9727,3000000
7598,3400000
8889,3000000
9446,2100000
8030,1000000
5061,2000000
9538,2100000
3529,3200000
9985,3000000
1351,2600000
9068,2500000
8213,1500000
1690,2500000
5385,3200000
5313,2400000
8477,3000000
2157,2000000
4599,2100000
5481,2000000
676,2500000
3560,3000000
4605,990000
417,1900000
6495,2600000
3112,1000000
1520,1200000
774,1200000
6892,2800000
7309,2000000
8603,1400000
7594,2000000
9526,2800000
2395,2800000
6255,1000000
8396,3200000
6008,3100000
9306,1000000
5157,3000000
9070,3200000
7534,1000000
1160,1000000
8381,1100000
115,1400000
1026,2500000
8176,1800000
9199,3000000
1855,1700000
73,2600000
8920,3200000
47,1600000
8693,2700000
6998,1900000
6436,1700000
983,2000000
4156,3000000
9616,2500000
7434,1700000
7709,1900000
5507,3000000
5382,2500000
1354,1000000
639,2500000
6254,3300000
9605,1700000
9573,3200000
4970,1800000
4756,3000000
8019,1200000
8918,1300000
2251,2000000
2308,2000000
8230,1600000
8025,2000000
1033,2700000
9337,3000000
8092,1900000
4058,2000000
9970,2600000
322,1000000
9211,1300000
9396,2000000
5783,1800000
3798,3000000
8259,2800000
9148,1000000
8321,1900000
725,2600000
7954,1800000
4239,1000000
8182,2000000
8385,1000000
9644,3000000
1947,1500000
9986,3000000
2813,2000000
8832,3000000
1253,1000000
6163,3100000
6354,1200000
9433,2600000
729,3300000
9863,3200000
9856,1600000
7842,1200000
9429,2000000
7752,2800000
9792,3000000
1078,3300000
9428,3000000
8964,2200000
2325,2400000
9393,1700000
8123,3000000
4062,3000000
8828,1800000
7768,950000
8343,3200000
9346,1800000
3220,2000000
8372,1900000
182,2800000
6975,1000000
3423,3300000
8819,2200000
9356,2100000
9806,1300000
9472,2900000
1074,1500000
6028,1500000
5791,2400000
71,2500000
7719,1200000
8261,1500000
55,3000000
9512,2000000
84,2000000
1085,3300000
3946,2500000
9014,2000000
8707,2100000
6448,2400000
5429,1300000
1581,2000000
8730,2600000
2465,1700000
4323,1600000
2903,1000000
3180,1900000
9753,2700000
1523,2500000
2307,1800000
19,2000000
9654,2000000
5701,1800000
9477,3400000
9649,2000000
5332,1600000
8358,1500000
7048,2000000
707,1000000
2509,2800000
2936,2500000
7591,2100000
9748,1300000
9971,3000000
4050,2500000
8403,3000000
8725,2000000
397,1700000
4162,2500000
8742,2400000
3383,2500000
8288,1800000
5461,2800000
4560,2100000
7546,1000000
8689,2200000
9250,2700000
8672,2000000
5842,2000000
9897,2700000
7103,3100000
8764,2000000
712,2900000
8709,2000000
8501,3200000
