,TradePrice
1566,7500000
8916,4500000
6606,4000000
449,3800000
4978,6800000
271,5000000
6092,8500000
5930,6000000
6432,6000000
6869,8000000
3554,7500000
75,3500000
6022,7000000
8333,6600000
7835,8900000
4148,8800000
7328,5800000
9398,8600000
619,8000000
1371,5300000
9319,4700000
7826,4500000
5424,8500000
4761,4300000
79,7000000
4438,6200000
7942,4200000
8267,8000000
4622,7400000
4608,5400000
1029,8500000
7845,8500000
9441,6000000
7901,8500000
6203,7500000
9172,6200000
7372,7600000
5189,4600000
6825,7300000
3284,4400000
3198,4000000
6933,5500000
7577,7300000
2095,6300000
7675,4800000
3638,4300000
9489,7100000
9439,5000000
9563,4000000
9056,4700000
4190,6000000
8308,7500000
9871,3900000
8514,4600000
5497,8100000
986,5600000
3493,6800000
5458,5800000
4773,4400000
7558,6100000
1967,4800000
8481,5500000
4628,4500000
1089,4100000
9663,6800000
6668,6900000
7096,4000000
8805,4400000
7774,4600000
6441,4800000
9707,7000000
8724,5000000
1919,8000000
4914,6000000
9719,5000000
8254,6800000
9333,4600000
9924,6600000
3095,7500000
6790,8800000
1053,8500000
8159,4000000
4997,7000000
9343,8300000
1895,4100000
5544,7300000
5099,5000000
8865,3800000
9375,5000000
9870,6700000
8900,4500000
7799,5400000
5223,5500000
2439,5500000
1662,7600000
9883,4100000
4360,5000000
4369,6800000
7397,8300000
7997,6000000
7425,4500000
6873,6000000
7784,6000000
7449,5200000
4785,5000000
8038,7500000
6854,8000000
5888,8800000
6785,5900000
4242,8000000
8837,5300000
9209,3900000
6408,3500000
8545,4000000
2743,7000000
7888,6500000
6091,6900000
7107,5000000
8281,3500000
10022,7400000
9601,5900000
2605,4000000
4762,3600000
9731,8700000
3670,8000000
8618,5700000
63,8000000
3944,8400000
4974,6600000
9198,8000000
9358,3600000
5923,5100000
7456,6000000
2644,4700000
369,5000000
2938,8000000
4547,6000000
8445,3800000
9196,6500000
8384,8000000
4238,8500000
8636,6900000
4730,5300000
10030,6000000
5236,5500000
4233,7700000
1564,5000000
8295,3800000
604,3500000
8935,6800000
737,7500000
1994,6800000
3608,4500000
3771,6000000
6501,5000000
1740,3500000
7765,4300000
2384,5600000
6521,7600000
6017,5000000
205,5000000
8535,3500000
7446,6500000
9127,6800000
8270,8100000
2861,7000000
9759,6100000
5822,5100000
9966,6500000
4904,6500000
2309,7000000
9730,3800000
4143,8500000
5764,8000000
1073,8900000
2521,8900000
3096,6600000
6897,7500000
2547,5000000
8410,8500000
9595,5000000
241,5600000
5684,7000000
9921,4000000
3282,4100000
7445,6000000
9887,6000000
8567,5800000
9413,4000000
283,7500000
6845,5200000
2869,7700000
2910,6500000
58,4000000
5837,5000000
2269,8000000
5715,8000000
1917,5200000
86,6000000
8066,4000000
1513,4900000
6044,7500000
8558,5700000
3757,7600000
3420,4500000
335,3600000
8146,3800000
6069,6500000
1915,8800000
5692,7500000
4041,5700000
8833,3500000
9846,6800000
8279,6400000
3153,4300000
756,7700000
9585,7800000
432,8500000
9407,5100000
8285,3500000
9588,3500000
342,6200000
7698,7500000
360,6500000
4320,7500000
3732,4000000
1645,7000000
9877,7000000
2790,7200000
9787,7100000
3629,7000000
8983,3900000
9155,5000000
7502,5000000
88,6000000
9704,6000000
