,TradePrice
3939,50000000
5571,10000000
3785,30000000
9202,20000000
6924,14000000
1712,14000000
7171,12000000
580,20000000
5141,13000000
9979,27000000
424,26000000
2356,12000000
6160,15000000
3682,22000000
6583,14000000
7355,18000000
2673,14000000
2896,12000000
2199,20000000
9702,12000000
2665,15000000
8151,24000000
2342,12000000
5279,30000000
2814,19000000
834,23000000
8472,9800000
218,23000000
8665,37000000
1332,43000000
5070,27000000
2383,26000000
4104,42000000
7016,13000000
1328,85000000
8504,16000000
1387,16000000
8778,18000000
5032,25000000
890,12000000
6118,14000000
6703,12000000
5094,16000000
9000,28000000
6266,11000000
9320,12000000
4274,15000000
5466,23000000
6662,56000000
2788,19000000
4128,19000000
1859,10000000
5331,21000000
8503,17000000
7020,18000000
6231,27000000
6921,12000000
3196,31000000
2294,10000000
2761,13000000
7934,14000000
798,9000000
2469,19000000
2371,18000000
650,74000000
8989,14000000
1946,17000000
8628,17000000
6969,12000000
9282,10000000
5698,20000000
4251,350000000
1169,15000000
3776,11000000
8322,23000000
3183,12000000
4539,13000000
7713,17000000
7361,21000000
907,9800000
102,16000000
8348,18000000
1489,24000000
9926,14000000
751,19000000
7401,18000000
5604,11000000
1467,19000000
4655,36000000
7178,18000000
1958,12000000
1368,14000000
2347,14000000
7791,80000000
3917,40000000
27,18000000
9930,12000000
4350,13000000
7588,16000000
1402,17000000
659,50000000
2516,15000000
4052,21000000
8530,10000000
2492,48000000
1482,22000000
3410,15000000
6055,48000000
5140,14000000
143,38000000
8013,13000000
5375,9700000
9760,47000000
2627,41000000
5408,30000000
1799,21000000
788,18000000
1988,19000000
2134,14000000
4669,16000000
8283,12000000
2875,18000000
1295,27000000
7273,24000000
3816,28000000
7067,21000000
9357,9100000
3995,13000000
2171,25000000
481,22000000
1922,40000000
1404,9000000
4097,34000000
9132,14000000
2187,19000000
244,12000000
8313,21000000
8529,16000000
1579,16000000
5104,21000000
7131,15000000
5107,17000000
427,17000000
2131,35000000
5088,20000000
284,18000000
7754,25000000
2750,23000000
8862,800000000
1411,13000000
1616,12000000
2290,12000000
9463,20000000
4662,26000000
1530,20000000
9852,14000000
4145,11000000
2359,19000000
6484,15000000
7687,17000000
452,18000000
1632,12000000
4351,22000000
7870,36000000
9018,9300000
6146,18000000
1329,20000000
8586,42000000
4563,19000000
8240,30000000
6000,15000000
3355,31000000
2373,23000000
2402,12000000
1990,13000000
8316,11000000
3544,28000000
3034,11000000
5124,9000000
9144,9000000
518,20000000
744,14000000
9311,29000000
5217,340000000
9822,20000000
8006,16000000
5721,11000000
3653,9400000
8973,14000000
2677,16000000
7022,12000000
1817,18000000
6183,22000000
8327,91000000
5810,55000000
7518,12000000
4456,19000000
1490,20000000
4920,19000000
943,10000000
8639,32000000
5704,54000000
6555,23000000
1094,9000000
7531,43000000
4754,9800000
1376,33000000
870,19000000
7294,19000000
8981,13000000
4393,15000000
9673,21000000
510,16000000
5339,12000000
3200,16000000
7162,14000000
5346,15000000
602,19000000
942,48000000
2656,17000000
2368,22000000
7141,30000000
1020,30000000
5269,15000000
9272,14000000
4416,15000000
8377,22000000
1923,22000000
5465,11000000
5183,12000000
3654,17000000
8976,21000000
7085,22000000
4967,17000000
5597,32000000
8897,17000000
2257,30000000
3078,13000000
2752,12000000
0,31000000
3247,26000000
4706,16000000
8963,16000000
4534,11000000
5411,18000000
1619,9000000
5651,21000000
2319,14000000
6708,9600000
3300,14000000
8928,17000000
4121,10000000
8166,42000000
5644,210000000
7804,14000000
6198,23000000
2091,52000000
4916,19000000
5307,20000000
584,21000000
1774,13000000
559,22000000
4269,16000000
881,21000000
3914,18000000
3322,20000000
9652,11000000
3978,18000000
6672,36000000
693,160000000
156,20000000
2566,26000000
1764,36000000
1913,17000000
5517,30000000
9182,36000000
4206,23000000
6784,53000000
1624,37000000
6711,15000000
5068,16000000
2682,18000000
5495,21000000
5971,35000000
9857,20000000
6257,16000000
5055,24000000
7674,11000000
4603,15000000
4681,14000000
2400,19000000
2917,9500000
2075,39000000
8901,18000000
1158,20000000
7722,15000000
4335,24000000
2151,12000000
159,9200000
3549,39000000
1918,13000000
6994,13000000
3784,30000000
4953,18000000
1052,9200000
6185,22000000
6730,9800000
4530,51000000
6067,16000000
7102,18000000
6571,15000000
6648,11000000
5073,94000000
4815,18000000
6531,9000000
991,15000000
4247,29000000
7426,18000000
2409,23000000
4788,14000000
1790,27000000
9114,10000000
2867,24000000
5086,11000000
1692,21000000
8459,20000000
6301,18000000
3801,110000000
6445,10000000
6142,21000000
3522,16000000
1282,29000000
1098,35000000
7383,31000000
6635,28000000
3040,9500000
5846,45000000
1040,19000000
6688,13000000
654,16000000
5329,18000000
728,38000000
